Dataset S4: The binding frequencies of human TF from JASPAR database with normal and tumor cells preferred TSS. ,,,
TF,cancer,normal,FDR
NR1I2,1,0,1
NR2C1,18,1,0.000126534
NR2C2,128,141,0.695790346
NR2F1,11,4,0.115428061
NR2F2,1,0,1
NR5A1,3,1,0.624169894
NRF1,267,304,0.435891212
OSR2,4,6,0.752537532
OTX2,1,0,1
PATZ1,908,1079,0.184646524
PAX5,44,51,0.503206209
PBX2,1,0,1
PBX3,1,10,0.011248689
PKNOX1,2,3,1
PLAG1,226,181,0.060707926
PLAGL2,172,142,0.511441969
PPARD,8,5,0.578253909
PPARG::RXRA,3,3,1
PRDM9,908,832,0.25791745
RARA,3,0,0.249171271
RARA::RXRA,8,15,0.204181773
RARA::RXRG,68,69,1
RBPJ,14,25,0.10052665
REL,1,6,0.123549733
RELB,3,5,0.725347891
REST,64,50,0.530186614
RFX1,4,8,0.384470849
RFX2,4,8,0.384470849
RFX3,4,8,0.384470849
RFX4,1,2,1
RFX5,6,11,0.327676872
RFX7,8,0,0.00757279
RORB,1,0,1
RREB1,189,228,0.934976909
RXRA::VDR,4,1,0.37361649
RXRB,6,4,0.752537532
RXRG,2,3,1
SCRT1,2,0,0.499447514
SCRT2,2,7,0.177508485
SMAD2,33,30,0.895437206
SNAI1,14,9,0.398763786
SNAI2,54,49,0.515452477
SNAI3,2,0,0.499447514
SOX10,1,3,0.624169894
SP1,323,317,0.946328072
SP2,293,274,0.632943983
SP3,398,505,0.013902314
SP4,283,293,0.341174737
SP5,286,287,0.786990848
SP8,317,350,0.840581573
SP9,438,528,0.019902302
SPDEF,1,0,1
SPI1,80,91,0.274141678
SPIB,85,92,0.655036714
SPIC,1,0,1
STAT1,9,0,0.00757279
STAT3,2,0,0.499447514
TBX15,5,0,0.061810539
TBXT,1,0,1
TCF12,159,172,0.941327004
TCF3,145,142,0.817861431
TCF4,128,151,0.639451929
TCF7L2,1,0,1
TCFL5,132,130,0.786406466
TEAD2,3,0,0.249171271
TEAD4,1,0,1
TFAP2A,464,425,1
TFAP2B,351,332,0.736603453
TFAP2C,500,434,0.947026832
TFAP2E,133,118,0.430370306
TFAP4::ETV1,121,121,0.630244158
TFAP4::FLI1,59,0,4.25E-16
TFDP1,183,230,0.283619245
TFE3,2,1,1
TFEB,5,4,0.725347891
TFEC,30,34,0.882274266
THAP1,149,167,0.60201077
THAP11,52,46,0.571109795
THRA,67,29,0.001470803
THRB,66,49,0.259318082
TRPS1,2,1,1
USF2,5,2,0.217194415
VEZF1,115,105,1
YY1,8,3,0.505626205
YY2,61,76,0.555237141
ZBED2,1,4,0.37361649
ZBTB12,2,2,1
ZBTB14,234,294,0.235271513
ZBTB26,8,0,0.00757279
ZBTB33,69,92,0.486545199
ZBTB6,77,80,1
ZBTB7A,134,137,0.816786402
ZBTB7B,52,63,0.530186614
ZBTB7C,59,77,0.237794694
ZEB1,81,69,0.63131171
ZFP14,183,174,0.826791209
ZFP42,19,23,0.513126437
ZFP57,51,51,0.719416882
ZIC1,120,167,0.026283472
ZIC3,125,161,0.253517607
ZIC4,150,180,0.204064369
ZIC5,154,203,0.056359033
ZIM3,2,0,0.499447514
ZKSCAN3,108,104,1
ZKSCAN5,91,103,0.347075724
ZNF135,87,105,0.308277273
ZNF140,1,0,1
ZNF148,836,962,0.186570712
ZNF16,69,53,0.158984072
ZNF189,8,3,0.223704279
ZNF24,1,0,1
ZNF257,167,187,0.385911971
ZNF263,357,365,0.027028147
ZNF281,672,788,0.341642356
ZNF320,583,649,1
ZNF331,57,87,0.202480807
ZNF341,33,11,0.001486246
ZNF343,69,81,0.350863711
ZNF384,77,89,0.650269406
ZNF417,63,63,0.835655856
ZNF449,126,113,0.194116673
ZNF454,416,454,0.688352857
ZNF460,491,530,0.893834815
ZNF528,20,2,0.000101696
ZNF530,542,588,0.689924857
ZNF549,102,121,0.145529138
ZNF574,87,92,1
ZNF610,574,725,0.053718045
ZNF669,57,63,0.239227328
ZNF682,195,212,0.665299989
ZNF684,48,0,1.80E-14
ZNF692,98,93,0.730678209
ZNF701,387,346,0.309824007
ZNF707,99,66,0.066534953
ZNF708,67,61,0.619227481
ZNF740,542,509,0.638607638
ZNF76,85,87,1
ZNF768,86,75,0.520069075
ZNF816,128,131,0.754045077
ZNF93,521,654,0.010265982
ZSCAN4,1,39,1.16E-06
